"address","source_path","ghidra_name","original_name_status","signature","objective_verdict","code_sha256"
"1001b9de","src/functions/1001b9de.cpp","_CallCatchBlock2","recognized-or-tool-label","void * __cdecl _CallCatchBlock2(EHRegistrationNode * param_1, _s_FuncInfo * param_2, void * param_3, int param_4, ulong param_5)","PASS","82e7be64508e7451f4c9b6a6e926b30c636dfffa26de28c2c0f50552c8630d9f"
"1001ba40","src/functions/1001ba40.cpp","FUN_1001ba40","auto-generated-address-label","ulonglong __fastcall FUN_1001ba40(undefined4 param_1, undefined4 param_2)","PASS","973dd0053e4680b0185f3c5695109b9da0a328a7b5c5d31c97324fd8e7fbdbe4"
"1001baeb","src/functions/1001baeb.cpp","__forcdecpt_l","recognized-or-tool-label","void __cdecl __forcdecpt_l(char * _Buf, _locale_t _Locale)","PASS","7a859c1ea8790eeb94aa84c047b927731f9f466bc5365e2b52a4c55c06120b73"
"1001bb5f","src/functions/1001bb5f.cpp","__cropzeros_l","recognized-or-tool-label","void __cdecl __cropzeros_l(char * _Buf, _locale_t _Locale)","PASS","c8ca90ff026a6c10a127c66a9fdf84745947fe533e74bdb599338189279b44fb"
"1001bbe1","src/functions/1001bbe1.cpp","__positive","recognized-or-tool-label","int __cdecl __positive(double * arg)","PASS","409bbcf5fe1e0393511c2ef4afcc6fd356884ba3d3d2be823e8819d736a94283"
"1001bbfd","src/functions/1001bbfd.cpp","__fassign_l","recognized-or-tool-label","void __cdecl __fassign_l(int flag, char * argument, char * number, _locale_t param_4)","PASS","60c23c4d74c91e93747d558a369e9193edeeb25e99cb9a6cb9e071d505d79437"
"1001bc3f","src/functions/1001bc3f.cpp","__fassign","recognized-or-tool-label","void __cdecl __fassign(int flag, char * argument, char * number)","PASS","7f253ce5c338e2eddf2703f038e354e4991d6dbb4d5aaf99486bfdc06874e3ca"
"1001bc59","src/functions/1001bc59.cpp","__shift","recognized-or-tool-label","undefined __stdcall __shift(void)","PASS","621da92b78707f965abf85f5fd187f79d5d3f5b9680b34a894147bb1c1f5dba7"
"1001bc78","src/functions/1001bc78.cpp","__forcdecpt","recognized-or-tool-label","void __cdecl __forcdecpt(char * _Buf)","PASS","f682a2703d686049c4c7badaf9e8ddcd6c134b72a3b52fc9bfa26f133205f5df"
"1001bc8b","src/functions/1001bc8b.cpp","__cropzeros","recognized-or-tool-label","void __cdecl __cropzeros(char * _Buf)","PASS","46e09503f33d4e81dfe3db2a069cbf006b787f577597ed0a0cdd3ebe03b501ce"
"1001bc9e","src/functions/1001bc9e.cpp","FUN_1001bc9e","auto-generated-address-label","int __cdecl FUN_1001bc9e(uint param_1, int param_2, int param_3, int * param_4, char param_5, localeinfo_struct * param_6)","PASS","b2345852d32405fc55239a97b9d19e66889699268ac46314bd4f5da0804124c6"
"1001bdff","src/functions/1001bdff.cpp","__cftoe_l","recognized-or-tool-label","undefined __cdecl __cftoe_l(undefined4 * param_1, undefined1 * param_2, uint param_3, int param_4, int param_5, localeinfo_struct * param_6)","PASS","5973d5fa60dcecab798c7c30d9722c0ae0365d2425103bec033e8d7b7e91b52e"
"1001bec6","src/functions/1001bec6.cpp","__cftoe","recognized-or-tool-label","errno_t __cdecl __cftoe(double * _Value, char * _Buf, size_t _SizeInBytes, int _Dec, int _Caps)","PASS","b330e40fe00652082337fec4719e7309ee8a4d18940bf44b5ebdb11cee76f5a5"
"1001bee6","src/functions/1001bee6.cpp","__cftoa_l","recognized-or-tool-label","int __cdecl __cftoa_l(double * param_1, undefined1 * param_2, uint param_3, size_t param_4, int param_5, localeinfo_struct * param_6)","PASS","6d877a8480d8430d00243be8bdf569df2aa6fa4761daaa06395d263e95e8c089"
"1001c25c","src/functions/1001c25c.cpp","__cftof2_l","recognized-or-tool-label","undefined4 __thiscall __cftof2_l(void * this, int param_1, size_t param_2, char param_3, localeinfo_struct * param_4)","PASS","4556422bea8e38c75309780fea7bf160a0453665e002ab51ede33295cc62b98c"
"1001c35f","src/functions/1001c35f.cpp","__cftof_l","recognized-or-tool-label","errno_t __cdecl __cftof_l(undefined4 * param_1, undefined1 * param_2, int param_3, size_t param_4, localeinfo_struct * param_5)","PASS","3818e61da59bc106097b0c3df1578925bf733371716d89a1ed7c13a18dde5018"
"1001c420","src/functions/1001c420.cpp","__cftog_l","recognized-or-tool-label","undefined __cdecl __cftog_l(undefined4 * param_1, undefined1 * param_2, uint param_3, size_t param_4, int param_5, localeinfo_struct * param_6)","PASS","e4f374d5712ea397a029f682dc48ef7cad02b92970b6c20541a6d4feabc5bf23"
"1001c50d","src/functions/1001c50d.cpp","__cfltcvt_l","recognized-or-tool-label","errno_t __cdecl __cfltcvt_l(double * arg, char * buffer, size_t sizeInBytes, int format, int precision, int caps, _locale_t plocinfo)","PASS","6e993138f0383063d39e1fd025d454c89b9a3e3b33767c88f6b7b36b67bf94f7"
"1001c595","src/functions/1001c595.cpp","__cfltcvt","recognized-or-tool-label","errno_t __cdecl __cfltcvt(double * arg, char * buffer, size_t sizeInBytes, int format, int precision, int caps)","PASS","0633d895fd62cd5fea11842aae61328bbeaaa1d7c00a953cb14157e383bed3d2"
"1001c5b8","src/functions/1001c5b8.cpp","__setdefaultprecision","recognized-or-tool-label","undefined __stdcall __setdefaultprecision(void)","PASS","08f81517927d2c13f93e9ec9a8b0aa84284b734b8b2a2bd65d1031650c278eca"
"1001c5f0","src/functions/1001c5f0.cpp","FUN_1001c5f0","auto-generated-address-label","undefined __fastcall FUN_1001c5f0(void * param_1)","PASS","29e1b51b567771276276666f53ae8c05458a7d58ac5834b1ca0c72cc521f598f"
"1001c60e","src/functions/1001c60e.cpp","FUN_1001c60e","auto-generated-address-label","float10 __thiscall FUN_1001c60e(void * param_1, int param_2)","PASS","8751a0d1906deed43a96c210873f85c7a06838204a443b87f5d00e2d2299f47c"
"1001c9a5","src/functions/1001c9a5.cpp","FUN_1001c9a5","auto-generated-address-label","undefined __stdcall FUN_1001c9a5(void)","PASS","200d339dae260adba148e4415e6cda9f197a3df1eaf2dc3d1849e9f43f1955b0"
"1001c9bc","src/functions/1001c9bc.cpp","FUN_1001c9bc","auto-generated-address-label","undefined4 __stdcall FUN_1001c9bc(void)","PASS","7cdf4eb9a70c273564cafb47429370dc264ec369365da5ec44124c78b76acf42"
"1001c9d5","src/functions/1001c9d5.cpp","__fload_withFB","recognized-or-tool-label","uint __fastcall __fload_withFB(undefined4 param_1, int param_2)","PASS","f6db6c793c0adbd22977f519b7ce1a33b4ce1bb782764f79060a7ae1b4308407"
"1001ca18","src/functions/1001ca18.cpp","FUN_1001ca18","auto-generated-address-label","uint __cdecl FUN_1001ca18(undefined4 param_1, uint param_2)","PASS","05bbed051a8a814d8e71a63670b44cad0606d7f5b488652e8ec36cc3be28fe4c"
"1001ca3b","src/functions/1001ca3b.cpp","__math_exit","recognized-or-tool-label","undefined __fastcall __math_exit(undefined4 param_1, int param_2, undefined4 param_3, undefined4 param_4, undefined4 param_5)","PASS","f91c5380c6755bef43efcb4615d61281ec5984dbffc8df5a71ae0545d39afd16"
"1001cb20","src/functions/1001cb20.cpp","FUN_1001cb20","auto-generated-address-label","float10 __fastcall FUN_1001cb20(undefined4 param_1, undefined4 param_2, undefined2 param_3, undefined4 param_4, undefined4 param_5, undefined4 param_6, undefined4 param_7, undefined4 param_8)","PASS","2b17d4e3f07b351c879911a06a8d947067538bc414f6dc07d31de9b86b7af14e"
"1001cb37","src/functions/1001cb37.cpp","__startOneArgErrorHandling","recognized-or-tool-label","float10 __fastcall __startOneArgErrorHandling(undefined4 param_1, int param_2, ushort param_3, undefined4 param_4, undefined4 param_5, undefined4 param_6)","PASS","37281b5d506906e8c045a2022e871c5878b7b70ff5327c6628e00962ed21f792"
"1001cb80","src/functions/1001cb80.cpp","FUN_1001cb80","auto-generated-address-label","undefined __fastcall FUN_1001cb80(void * param_1)","PASS","0b41e0184913bd3a819c876a22b92089048717640d1a706799ee8aad64428b06"
"1001cb9e","src/functions/1001cb9e.cpp","FUN_1001cb9e","auto-generated-address-label","float10 __thiscall FUN_1001cb9e(void * param_1, int param_2)","PASS","dee88bd7abeab663b1c99a36a8121c953ee84eec40b8e97454aad82e69bb2bbc"
"1001cd37","src/functions/1001cd37.cpp","FUN_1001cd37","auto-generated-address-label","void * __thiscall FUN_1001cd37(void * this, byte param_1)","PASS","4dbd324c848e9387de89a158855e7268655cd20fb330190fe55c0fc1ef8f7462"
"1001cd5e","src/functions/1001cd5e.cpp","___TypeMatch","recognized-or-tool-label","undefined4 __cdecl ___TypeMatch(byte * param_1, byte * param_2, uint * param_3)","PASS","5f38ce9d9c3b9a5259eda119cb7c18c7f5cc86e82393a5512161331633ef465a"
"1001cdbd","src/functions/1001cdbd.cpp","___FrameUnwindFilter","recognized-or-tool-label","undefined4 __cdecl ___FrameUnwindFilter(undefined4 * param_1)","PASS","6f9fca0825e1665b1689ee36c09e4bc8249186b2edc351730477d38c5fb9bbe8"
"1001ce0c","src/functions/1001ce0c.cpp","___FrameUnwindToState","recognized-or-tool-label","undefined __cdecl ___FrameUnwindToState(int param_1, undefined4 param_2, int param_3, int param_4)","PASS","618aceed7ba50ddc37c85cd681244e35853de5e247673de4d9aee008a8838b15"
"1001cece","src/functions/1001cece.cpp","FUN_1001cece","auto-generated-address-label","undefined __stdcall FUN_1001cece(void)","PASS","43ec2ed3b4c777af4c460affaaf8bda164620439f036ff3a984597a2b537f463"
"1001cf2d","src/functions/1001cf2d.cpp","___DestructExceptionObject","recognized-or-tool-label","undefined __cdecl ___DestructExceptionObject(int * param_1)","PASS","fa443cfd335b0b804f0c13d3f8deacfac2f153ef154f4fce2e0701a32774be66"
"1001cf82","src/functions/1001cf82.cpp","___AdjustPointer","recognized-or-tool-label","int __cdecl ___AdjustPointer(int param_1, int * param_2)","PASS","eda4bd6d72fb818915ab7d5997d459cf0c34b8730735aa2976696404b35a8e50"
"1001cfab","src/functions/1001cfab.cpp","IsInExceptionSpec","recognized-or-tool-label","uchar __cdecl IsInExceptionSpec(EHExceptionRecord * param_1, _s_ESTypeList * param_2)","PASS","39fcb5a21f9b05e6f9df24753208e425381c3d82138413c5ff373dff8a061e5e"
"1001d026","src/functions/1001d026.cpp","FUN_1001d026","auto-generated-address-label","undefined __stdcall FUN_1001d026(void)","PASS","3bc1b0b0e87da2c519576bf3083decc4fc758a4f46d0a066ca2c13630da31299"
"1001d057","src/functions/1001d057.cpp","Catch_All@1001d057","recognized-or-tool-label","undefined __stdcall Catch_All@1001d057(void)","PASS","d9819106660f5733949105f2abb513f4a6d8a8631a412f0e99b56a69eeefda2f"
"1001d06f","src/functions/1001d06f.cpp","CallCatchBlock","recognized-or-tool-label","void * __cdecl CallCatchBlock(EHExceptionRecord * param_1, EHRegistrationNode * param_2, _CONTEXT * param_3, _s_FuncInfo * param_4, void * param_5, int param_6, ulong param_7)","PASS","9948face70e96f8cc934cdcd9e481e73d131d2ba1c128d65047e340f978427d6"
"1001d195","src/functions/1001d195.cpp","FUN_1001d195","auto-generated-address-label","undefined __stdcall FUN_1001d195(void)","PASS","bd5f32688ee5e1cfbda48bbfdce16cd83e2c72cce44d601039e9712473829ef3"
